category,technique_name,description
collaborative,Yes And Building,"Construire l'elan creatif par additions positives — chaque idee devient un tremplin. Utiliser 'Oui et en plus...' ou 'En partant de ca...' pour creer un flux energetique qui enrichit les contributions precedentes."
collaborative,Brain Writing Round Robin,"Generation silencieuse d'idees suivie de construction sur les concepts ecrits des autres — donne une voix egale a tous. Ecrire en silence, passer les idees, construire sur ce qu'on recoit."
collaborative,Random Stimulation,"Utiliser des mots/images aleatoires comme catalyseurs creatifs pour forcer des connexions inattendues — brise les blocages mentaux par l'inspiration fortuite."
collaborative,Role Playing,"Generer des solutions depuis plusieurs perspectives de parties prenantes pour construire l'empathie et assurer une consideration comprehensive. Incarner differents roles."
collaborative,Ideation Relay Race,"Construction rapide d'idees sous pression temporelle — cree l'urgence et les percees. Additions de 30 secondes, construction rapide, passage rapide pour maintenir l'elan creatif."
creative,What If Scenarios,"Explorer des possibilites radicales en questionnant toutes les contraintes et hypotheses. 'Et si on avait des ressources illimitees ?' 'Et si l'oppose etait vrai ?' 'Et si ce probleme n'existait pas ?'"
creative,Analogical Thinking,"Trouver des solutions creatives en tracant des paralleles avec d'autres domaines — transferer des patterns qui marchent. 'C'est comme quoi ?' 'En quoi c'est similaire a...' 'Quels autres exemples existent ?'"
creative,Reversal Inversion,"Retourner deliberement les problemes pour reveler les hypotheses cachees et les angles frais. 'Et si on faisait l'inverse ?' 'Comment pourrait-on empirer les choses ?' 'Quelle est l'approche inversee ?'"
creative,First Principles Thinking,"Eliminer les hypotheses pour reconstruire a partir des verites fondamentales. 'Que savons-nous avec certitude ?' 'Quelles sont les verites fondamentales ?' 'Si on partait de zero ?'"
creative,Forced Relationships,"Connecter des concepts sans rapport pour creer des ponts innovants par collision creative. Prendre deux choses sans lien, trouver des connexions, explorer comment elles pourraient fonctionner ensemble."
creative,Time Shifting,"Explorer des solutions a travers differentes epoques pour reveler contraintes et opportunites. 'Comment ca marcherait dans le passe ?' 'Et dans 100 ans ?' 'Quelles solutions temporelles s'appliquent ?'"
creative,Metaphor Mapping,"Utiliser des metaphores etendues comme outils de reflexion pour explorer les problemes sous de nouveaux angles — transformer les defis abstraits en recits tangibles."
creative,Cross-Pollination,"Transferer des solutions d'industries ou domaines completement differents pour generer des innovations de rupture. 'Comment l'industrie X resoudrait ca ?' 'Quels patterns marchent dans le domaine Y ?'"
creative,Concept Blending,"Fusionner deux concepts ou plus pour creer des categories entierement nouvelles — aller au-dela de la simple combinaison vers une veritable innovation."
creative,Reverse Brainstorming,"Generer des problemes au lieu de solutions pour identifier des opportunites cachees. 'Qu'est-ce qui pourrait mal tourner ?' 'Comment faire echouer ca ?' 'Quels problemes pourrait-on creer ?'"
